inst_shopping/1	inst_buying/1
inst_shopping/1	inst_robbing/1
inst_shopping/1	inst_rest_dining/1
inst_shopping/1	inst_drinking/1
inst_shopping/1	inst_going_by_vehicle/1
inst_shopping/1	inst_going_by_bus/1
inst_shopping/1	inst_going_by_taxi/1
inst_shopping/1	inst_going_by_plane/1
inst_shopping/1	inst_jogging/1
inst_shopping/1	inst_partying/1
inst_smarket_shopping/1	inst_liqst_shopping/1
inst_smarket_shopping/1	inst_buying/1
inst_smarket_shopping/1	inst_robbing/1
inst_smarket_shopping/1	inst_rest_dining/1
inst_smarket_shopping/1	inst_drinking/1
inst_smarket_shopping/1	inst_going_by_vehicle/1
inst_smarket_shopping/1	inst_going_by_bus/1
inst_smarket_shopping/1	inst_going_by_taxi/1
inst_smarket_shopping/1	inst_going_by_plane/1
inst_smarket_shopping/1	inst_jogging/1
inst_smarket_shopping/1	inst_partying/1
inst_liqst_shopping/1	inst_buying/1
inst_liqst_shopping/1	inst_robbing/1
inst_liqst_shopping/1	inst_rest_dining/1
inst_liqst_shopping/1	inst_drinking/1
inst_liqst_shopping/1	inst_going_by_vehicle/1
inst_liqst_shopping/1	inst_going_by_bus/1
inst_liqst_shopping/1	inst_going_by_taxi/1
inst_liqst_shopping/1	inst_going_by_plane/1
inst_liqst_shopping/1	inst_jogging/1
inst_liqst_shopping/1	inst_partying/1
inst_buying/1	inst_robbing/1
inst_buying/1	inst_rest_dining/1
inst_buying/1	inst_drinking/1
inst_buying/1	inst_going_by_vehicle/1
inst_buying/1	inst_going_by_bus/1
inst_buying/1	inst_going_by_taxi/1
inst_buying/1	inst_going_by_plane/1
inst_buying/1	inst_jogging/1
inst_buying/1	inst_partying/1
inst_robbing/1	inst_rest_dining/1
inst_robbing/1	inst_drinking/1
inst_robbing/1	inst_going_by_vehicle/1
inst_robbing/1	inst_going_by_bus/1
inst_robbing/1	inst_going_by_taxi/1
inst_robbing/1	inst_going_by_plane/1
inst_robbing/1	inst_jogging/1
inst_robbing/1	inst_partying/1
inst_rest_dining/1	inst_drinking/1
inst_rest_dining/1	inst_going_by_vehicle/1
inst_rest_dining/1	inst_going_by_bus/1
inst_rest_dining/1	inst_going_by_taxi/1
inst_rest_dining/1	inst_going_by_plane/1
inst_rest_dining/1	inst_jogging/1
inst_rest_dining/1	inst_partying/1
inst_drinking/1	inst_going_by_vehicle/1
inst_drinking/1	inst_going_by_bus/1
inst_drinking/1	inst_going_by_taxi/1
inst_drinking/1	inst_going_by_plane/1
inst_drinking/1	inst_jogging/1
inst_drinking/1	inst_partying/1
inst_going_by_vehicle/1	inst_jogging/1
inst_going_by_vehicle/1	inst_partying/1
inst_going_by_bus/1	inst_going_by_taxi/1
inst_going_by_bus/1	inst_going_by_plane/1
inst_going_by_bus/1	inst_jogging/1
inst_going_by_bus/1	inst_partying/1
inst_going_by_taxi/1	inst_going_by_plane/1
inst_going_by_taxi/1	inst_jogging/1
inst_going_by_taxi/1	inst_partying/1
inst_going_by_plane/1	inst_jogging/1
inst_going_by_plane/1	inst_partying/1
inst_jogging/1	inst_partying/1
